idno,GEN,AGE,EDU,JOBS,JOBS1,JOBS2,INCOME,region,pspwght,regions,FW1,FW3,FW7,FW9,FW10,FW11,FW2,FW12,FW13,FW4,FW5,FW6,FW8,FW14
10105,1,17,2,66,0,0,,BE21,1.289705347,0,4,4,4,2,3,3,3,2,4,7,7,8,7,4
10107,1,40,7,7,0,1,7,BE21,0.853106648,0,3,4,3,4,4,4,4,4,2,7,9,7,8,7
10109,2,79,2,66,0,0,2,BE21,1.284411148,0,4,4,4,2,3,3,2,4,4,9,9,6,2,2
10201,2,23,2,4,1,0,3,BE21,1.293012647,0,4,3,,4,3,4,3,5,2,7,7,7,5,5
10202,2,29,4,2,1,0,5,BE21,0.862898819,0,4,4,4,4,4,4,4,4,4,8,8,9,8,7
10208,1,40,7,6,0,1,7,BE21,0.853106648,0,4,3,3,3,4,3,3,3,3,5,6,6,4,5
10209,2,50,6,9,0,1,,BE21,0.855294341,0,5,4,4,3,3,3,5,4,4,9,9,9,8,9
10302,2,33,4,66,0,0,4,BE21,0.862898819,0,3,5,5,4,5,4,1,5,4,10,10,10,8,5
10305,1,16,2,66,0,0,4,BE21,1.289705347,0,4,4,4,4,4,5,5,5,4,7,7,6,7,7
10306,2,32,7,66,0,0,7,BE21,0.858825994,0,4,2,3,4,2,2,3,2,4,7,8,8,7,8
10307,2,43,7,5,1,0,7,BE21,0.855294341,0,5,4,4,4,4,4,2,2,4,8,8,8,5,3
10308,2,57,6,8,0,1,8,BE21,0.853112833,0,5,5,5,2,4,2,4,1,3,9,10,9,9,4
10309,2,76,2,66,0,0,3,BE21,1.284411148,0,5,5,4,5,4,3,4,2,5,8,8,8,7,6
10401,2,34,4,66,0,0,2,BE21,0.862898819,0,4,2,4,2,4,2,2,4,2,5,5,6,7,9
10405,2,41,4,66,0,0,2,BE21,0.859350418,0,5,5,5,5,5,5,1,4,1,2,2,10,10,10
10406,1,47,3,8,0,1,3,BE21,0.85715235,0,5,4,4,4,4,4,2,4,2,8,8,7,8,7
10503,2,59,6,6,0,1,6,BE21,0.853112833,0,2,4,4,2,3,2,2,4,4,6,8,5,5,5
10507,2,41,4,8,0,1,4,BE21,0.859350418,0,5,5,4,4,4,2,2,4,1,8,9,9,5,6
10605,2,36,4,5,1,0,4,BE21,0.859350418,0,5,4,4,4,3,3,4,3,3,8,8,7,6,4
10606,1,68,7,9,0,1,9,BE21,0.850930719,0,3,4,4,4,4,4,4,4,4,8,8,8,6,7
10607,1,27,7,9,0,1,7,BE21,0.856629268,0,4,4,5,4,4,3,4,2,3,8,8,8,8,6
10608,1,47,1,66,0,0,2,BE21,1.284401837,0,4,3,3,4,3,3,2,3,3,7,7,7,6,6
10609,2,43,6,8,0,1,9,BE21,0.855294341,0,4,4,5,4,3,4,4,2,4,8,8,8,8,5
10701,2,52,2,66,0,0,,BE21,1.287695537,0,4,,3,3,3,3,,4,2,7,7,7,3,6
10702,2,42,7,8,0,1,8,BE21,0.855294341,0,4,4,4,3,4,4,4,2,4,8,8,8,6,8
10704,1,42,4,9,0,1,9,BE21,0.85715235,0,4,4,4,4,4,4,5,5,4,10,10,10,5,7
10706,1,60,4,7,0,1,,BE21,0.854966103,0,4,4,4,2,2,4,3,4,3,8,8,7,7,8
10802,2,20,4,8,0,1,4,BE21,0.862898819,0,5,5,4,4,4,4,2,3,4,10,10,10,9,7
10803,1,29,3,7,0,1,9,BE21,0.860691675,0,4,4,4,4,4,4,2,4,4,7,6,5,8,5
10805,1,51,4,66,0,0,5,BE21,0.85715235,0,5,4,5,5,4,4,2,4,1,7,7,7,6,7
10806,1,48,2,7,0,1,5,BE21,1.284401837,0,5,4,4,4,5,4,2,5,3,8,8,8,6,7
